Longitude,Type of Station,City,Address1,Zip,Address2,Version,State,City and State of the station,State FIPS,Unique Station Code,Latitude,latitude,longitude
-112.134941,OTHER,Grand Canyon National Park,Grand Canyon Railway Station,86023,downhill from Bright Angel Lodge,07,AZ,"Grand Canyon (Railway), Arizona",04,GCN,36.056717,36.056717,-112.134941
-118.257957,RAIL,Glendale,400 West Cerritos Avenue,91204,Glendale Transportation Center,07,CA,"Glendale, California",06,GDL,34.123638,34.123638,-118.257957
-97.110435,RAIL,Grand Forks,5555 DeMers Avenue,58201,,07,ND,"Grand Forks, North Dakota",38,GFK,47.918854,47.918854,-97.110435
-83.241844,RAIL,Dearborn,20900 Oakwood Blvd.,48216,Group travel only - not a regular stop,07,MI,"Greenfield Village, Michigan",26,GFV,42.304901,42.304901,-83.241844
-106.634811,RAIL,Glasgow,424 1st Avenue South,59230-2396,,07,MT,"Glasgow, Montana",30,GGW,48.194515,48.194515,-106.634811
-123.91559,BUS,Gearhart,"4320 Highway 101, North",97301,Gearhart Builders Supply Store,07,OR,"Gearhart, Oregon",41,GHT,46.058703,46.0587025756,-123.915589909
-108.569923,RAIL,Grand Junction,339 South 1st Street,81501-2207,,07,CO,"Grand Junction, Colorado",08,GJT,39.064819,39.064819,-108.569923
-97.140266,RAIL,Gainesville,605 East California Street,76240,,07,TX,"Gainesville, Texas",48,GLE,33.624424,33.624424,-97.140266
-87.994766,RAIL,Gilman,US Hwy 24 & West Wenona St.,60983,,07,IL,"Gilman, Illinois",17,GLM,40.762077,40.762077,-87.994766
-87.805344,RAIL,Glenview,1116 Depot St.,60025,,07,IL,"Glenview, Illinois",17,GLN,42.074196,42.074196,-87.805344
-108.739677,RAIL,Gallup,201 East Highway 66,87301,,07,NM,"Gallup, New Mexico",35,GLP,35.529247,35.529247,-108.739677
-94.786072,BUS,Galveston,25th St. and Strand St.,77550,The Railroad Museum,07,TX,"Galveston (Texas Eagle Bus), Texas",48,GLS,29.291208,29.291208,-94.786072
-94.809199,BUS,Galveston,3825 Broadway,77550-3819,,07,TX,"Galveston (Sunset Limited Bus), Texas",48,GLV,29.295607,29.2956070961,-94.8091986016
-121.567505,BUS,Gilroy,7250 Monterey Street,95020,Business 101,07,CA,"Gilroy, California",06,GLY,37.005981,37.005981,-121.567505
-79.547279,RAIL,Greensburg,Harrison Ave. and Seton Hill Dr.,15601,,07,PA,"Greensburg, Pennsylvania",42,GNB,40.304852,40.304852,-79.547279
-82.323692,BUS,Gainesville,104 S.E. 1st Avenue,32601-6824,,07,FL,"Gainesville, Florida",12,GNF,29.651079,29.651079,-82.323692
-83.826683,RAIL,Gainesville,116 Industrial Boulevard,30501,,07,GA,"Gainesville, Georgia",13,GNS,34.283718,34.283718,-83.826683
-113.218559,RAIL,East Glacier Park,400 Highway 49 North,59434,,07,MT,"East Glacier Park, Montana",30,GPK,48.443966,48.443966,-113.218559
-105.934837,RAIL,Granby,438 Railroad Avenue,80446,,07,CO,"Granby, Colorado",08,GRA,40.083916,40.083916,-105.934837
-110.164597,RAIL,Green River,250 South Broadway,84525,@ RR Tracks and Airport Rd.,07,UT,"Green River, Utah",49,GRI,38.992443,38.992443,-110.164597
-79.831352,RAIL,Greensboro,236 East Washington Street,27401-2704,Galyon Transportation Center,07,NC,"Greensboro, North Carolina",37,GRO,36.061203,36.061203,-79.831352
-85.678993,RAIL,Grand Rapids,431 Wealthy St. SW,49503-4061,near Market and Wealthy Sts. SW,07,MI,"Grand Rapids, Michigan",26,GRR,42.956371,42.956371,-85.678993
-121.057953,BUS,Grass Valley,125 E. Main Street,95945,City Hall,07,CA,"Grass Valley, California",06,GRS,39.219383,39.219383,-121.057953
-82.414185,RAIL,Greenville,1120 West Washington Street,29601,near Downtown Greenville,07,SC,"Greenville, South Carolina",45,GRV,34.85656,34.85656,-82.414185
-107.322678,RAIL,Glenwood Springs,413 7th Street,81601,,07,CO,"Glenwood Springs, Colorado",08,GSC,39.548119,39.548119,-107.322678
-119.421463,BUS,Visalia,30435 Road 68,93227-9585,Greyhound Bus Stop,07,CA,"Goshen Junction, California",06,GSN,36.341585,36.3415853556,-119.421462825
-119.841171,RAIL,Goleta,25 South La Patera Lane,93117,,07,CA,"Goleta, California",06,GTA,34.437557,34.437557,-119.841171
-123.296333,BUS,Grants Pass,460 Agness Avenue,97526,Greyhound Bus Station,07,OR,"Grants Pass, Oregon",41,GTP,42.435459,42.435459,-123.296333
-120.572945,RAIL,Guadalupe,330 Guadalupe Street,93434,Highway-1,07,CA,"Guadalupe, California",06,GUA,34.962605,34.962605,-120.572945
-89.094978,RAIL,Gulfport,1419 27th Avenue,39501,,07,MS,"Gulfport, Mississippi",28,GUF,30.368608,30.368608,-89.094978
-97.427524,RAIL,Guthrie,409 West Oklahoma Ave.,73044-3150,Santa Fe Depot,07,OK,"Guthrie, Oklahoma",40,GUT,35.879946,35.8799461406,-97.4275244512
-120.628105,RAIL,Grover Beach,180 West Grand Avenue,93433-1968,,07,CA,"Grover Beach, California",06,GVB,35.122066,35.122066,-120.628105
-116.128937,BUS,Grangeville,901 West Main (Highway 95),83530,ZIP TRIP,07,ID,"Grangeville, Idaho",16,GVI,45.926506,45.926506,-116.128937
-90.176086,RAIL,Greenwood,506 Carrolton Ave.,38930,,07,MS,"Greenwood, Mississippi",28,GWD,33.517738,33.517738,-90.176086
-79.698456,RAIL,Hamlet,West Main St. and North Bridges St.,28345,,07,NC,"Hamlet, North Carolina",37,HAM,34.883072,34.883072,-79.698456
